article_number,DOI,doi_link,study_number,all_registration_urls,journal_title,coder_1,coder_2
1,10.1037/emo0001252,doi.org/10.1037/emo0001252,Study 1,https://osf.io/c2xzd,Emotion,LS,BC
2,10.1037/emo0001434,doi.org/10.1037/emo0001434,NA,https://osf.io/fk6yu,Emotion,JC,SiB
3,10.1037/emo0001132,doi.org/10.1037/emo0001132,NA,https://osf.io/csvbe,Emotion,LS,JC
4,10.1037/emo0001330,doi.org/10.1037/emo0001330,Study 1,https://osf.io/n36cu,Emotion,BC,LS
5,10.1037/emo0001301,doi.org/10.1037/emo0001301,Study 2,https://osf.io/ygqfd,Emotion,SaB,AM
6,10.1037/emo0001268,doi.org/10.1037/emo0001268,NA,https://osf.io/rzdv5,Emotion,SaB,LS
7,10.1037/emo0001453,doi.org/10.1037/emo0001453,Study 2,https://osf.io/t9r6a,Emotion,BC,EK
8,10.1037/emo0001357,doi.org/10.1037/emo0001357,Study 3,https://osf.io/sx82e;https://osf.io/ypg9v,Emotion,SiB,SaB
9,10.1037/emo0001161,doi.org/10.1037/emo0001161,Study 2,https://osf.io/3q68t,Emotion,SaB,BC
10,10.1037/emo0001368,doi.org/10.1037/emo0001368,Study 3,https://osf.io/bv3k4,Emotion,LS,EK
11,10.1037/emo0000982,doi.org/10.1037/emo0000982,NA,https://osf.io/tb4qv,Emotion,JC,AM
12,10.1037/emo0001455,doi.org/10.1037/emo0001455,Study 3,https://osf.io/kqbw5/overview,Emotion,BC,AM
14,10.1037/emo0001513,doi.org/10.1037/emo0001513,Study 6,https://osf.io/efptk,Emotion,SiB,LS
17,10.1037/emo0001394,doi.org/10.1037/emo0001394,Study 1,https://osf.io/G7BVJ,Emotion,EK,JC
18,10.1037/emo0001448,doi.org/10.1037/emo0001448,NA,https://osf.io/t6jcv,Emotion,AM,JC
20,10.1037/emo0001429,doi.org/10.1037/emo0001429,Study 2,https://osf.io/ndkzv,Emotion,SaB,LS
21,10.1037/xge0001619,doi.org/10.1037/xge0001619,Study 1,https://osf.io/48x6f,Journal of Experimental Psychology: General,SaB,SiB
22,10.1037/xge0001206,doi.org/10.1037/xge0001206,Study 7,https://osf.io/gycj3;https://osf.io/85k7q,Journal of Experimental Psychology: General,EK,JC
23,10.1037/xge0001409,doi.org/10.1037/xge0001409,Experiment 1,https://osf.io/wrtgu,Journal of Experimental Psychology: General,AM,EK
24,10.1037/xge0001459,doi.org/10.1037/xge0001459,Experiment 1,https://osf.io/q86cj,Journal of Experimental Psychology: General,SiB,JC
25,10.1037/xge0001295,doi.org/10.1037/xge0001295,Experiment 2B,https://osf.io/hezkm,Journal of Experimental Psychology: General,AM,JC
26,10.1037/xge0001570,doi.org/10.1037/xge0001570,Experiment 1,https://osf.io/2dmtw,Journal of Experimental Psychology: General,EK,JC
27,10.1037/xge0001120,doi.org/10.1037/xge0001120,Study 4,https://osf.io/ku6fq,Journal of Experimental Psychology: General,SaB,EK
28,10.1037/xge0001256,doi.org/10.1037/xge0001256,Experiment 4,https://osf.io/hkc4u;https://osf.io/spu29;https://osf.io/59c3z;https://osf.io/rqmw5,Journal of Experimental Psychology: General,EK,BC
29,10.1037/xge0001280,doi.org/10.1037/xge0001280,NA,https://osf.io/43xfe;https://osf.io/mcdpu,Journal of Experimental Psychology: General,SaB,JC
30,10.1037/xge0001112,doi.org/10.1037/xge0001112,NA,https://osf.io/utche,Journal of Experimental Psychology: General,SaB,AM
31,10.1037/xge0001688,doi.org/10.1037/xge0001688,NA,https://osf.io/q5ne8,Journal of Experimental Psychology: General,SaB,JC
32,10.1037/xge0000853,doi.org/10.1037/xge0000853,Study 3,https://osf.io/x24kj;https://osf.io/f6sp9;https://osf.io/m79a2,Journal of Experimental Psychology: General,SaB,AM
33,10.1037/xge0001614,doi.org/10.1037/xge0001614,Study 3,https://osf.io/ctzks,Journal of Experimental Psychology: General,EK,SiB
34,10.1037/xge0001627,doi.org/10.1037/xge0001627,Experiment 3,https://osf.io/7bjre,Journal of Experimental Psychology: General,EK,SaB
35,10.1037/xge0001527,doi.org/10.1037/xge0001527,Study 2,https://osf.io/wqfkh,Journal of Experimental Psychology: General,EK,LS
36,10.1037/xge0001488,doi.org/10.1037/xge0001488,Experiment 1,https://osf.io/4my93;https://osf.io/5dyhf;https://osf.io/q4h3r;https://osf.io/83npu;https://osf.io/4skzc,Journal of Experimental Psychology: General,BC,JC
37,10.1037/xge0001031,doi.org/10.1037/xge0001031,Experiment 1,https://osf.io/v734e,Journal of Experimental Psychology: General,BC,JC
38,10.1037/xge0001462,doi.org/10.1037/xge0001462,Experiment 4,https://osf.io/fuyva,Journal of Experimental Psychology: General,BC,SiB
39,10.1037/xge0001634,doi.org/10.1037/xge0001634,NA,https://osf.io/ur73j,Journal of Experimental Psychology: General,SaB,SiB
40,10.1037/xge0001455,doi.org/10.1037/xge0001455,NA,https://osf.io/4expt,Journal of Experimental Psychology: General,SiB,EK
41,10.1037/xhp0001234,doi.org/10.1037/xhp0001234,Experiment 4,https://osf.io/4gtkn,Journal of Experimental Psychology: Human Perception and Performance,LS,BC
42,10.1037/xhp0001131,doi.org/10.1037/xhp0001131,Experiment 2,https://osf.io/qjm3t;https://osf.io/c9d8u,Journal of Experimental Psychology: Human Perception and Performance,AM,EK
43,10.1037/xhp0001191,doi.org/10.1037/xhp0001191,Experiment 2,https://osf.io/9dkgq/,Journal of Experimental Psychology: Human Perception and Performance,SiB,BC
